GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2630,4450.59,11707.16,15776.73,-12396.58,-112036.88,5399.79,69131.02,-18652.75,417.32,-17968.17,-18235.43,-36203.61
2640,4544.6,12017.84,15733.23,-12377.36,-111732.03,5375.02,69018.96,-18899.65,422.25,-17419.75,-18477.39,-35897.14
2650,4587.9,11946.46,15804.17,-12482.37,-111999.77,5375.41,69107.19,-18694.24,415.96,-17661.01,-18278.28,-35939.29
2660,4498.56,11747.1,15871.29,-12389.55,-111847.0,5399.87,69079.48,-18912.41,418.93,-17640.24,-18493.49,-36133.72
2670,4565.74,11865.1,15763.0,-12413.64,-111869.41,5347.59,68922.48,-18751.89,418.27,-17819.14,-18333.62,-36152.76
2680,4505.13,12025.98,15791.69,-12276.06,-111883.75,5343.66,69020.61,-18911.43,423.82,-17472.75,-18487.61,-35960.36
2690,4574.12,11905.36,15789.27,-12374.28,-111697.9,5354.05,68937.21,-18953.7,427.2,-17512.16,-18526.49,-36038.65
2700,4470.93,11929.14,15777.72,-12358.09,-111683.22,5416.75,69054.74,-18929.56,424.93,-17392.03,-18504.63,-35896.65
2710,4455.11,11809.78,15838.54,-12437.84,-112063.71,5401.76,69022.72,-18638.59,420.42,-17973.66,-18218.16,-36191.82
2720,4448.27,11931.27,15788.16,-12420.46,-111990.67,5328.27,68904.81,-18533.43,416.68,-18010.35,-18116.75,-36127.1
2730,4455.62,11936.69,15800.05,-12444.89,-112029.22,5379.33,68998.93,-18592.6,416.62,-17903.49,-18175.99,-36079.48
2740,4487.56,11844.96,15768.78,-12418.05,-112159.5,5375.89,69078.62,-18544.37,418.61,-18021.75,-18125.76,-36147.51
2750,4461.78,11813.61,15831.47,-12383.53,-112090.54,5420.54,69140.66,-18640.6,422.3,-17806.01,-18218.3,-36024.31
2760,4586.33,11850.17,15826.95,-12454.56,-112065.42,5414.24,69096.18,-18700.84,418.62,-17746.11,-18282.22,-36028.32
2770,4460.76,11884.16,15782.63,-12352.61,-111989.78,5376.91,69035.71,-18632.19,416.22,-17802.23,-18215.97,-36018.21
2780,4483.92,11973.24,15796.58,-12335.35,-112070.26,5440.16,69146.07,-18751.49,418.97,-17565.64,-18332.53,-35898.16
2790,4533.88,11859.52,15763.14,-12342.51,-112156.7,5378.28,69005.59,-18505.02,418.14,-17958.81,-18086.87,-36045.69
2800,4536.96,11878.43,15870.79,-12432.24,-111819.58,5353.86,69092.5,-18909.4,420.03,-17519.27,-18489.37,-36008.65
2810,4488.95,11889.75,15830.04,-12452.26,-112181.48,5379.37,69199.36,-18624.34,414.98,-17846.26,-18209.36,-36055.62
2820,4509.33,11872.52,15926.15,-12358.73,-112157.86,5412.38,69180.43,-18588.3,416.81,-17615.79,-18171.49,-35787.28
2830,4505.41,11890.22,15773.65,-12295.53,-112403.78,5406.82,69166.2,-18438.15,419.57,-17957.01,-18018.57,-35975.58
2840,4489.93,11752.04,15846.84,-12445.9,-112104.24,5348.86,69214.64,-18657.07,418.97,-17897.83,-18238.1,-36135.93
2850,4501.78,11957.29,15842.3,-12310.02,-112117.65,5399.55,69021.38,-18563.97,420.96,-17705.37,-18143.01,-35848.38
2860,4475.79,11972.81,15844.19,-12371.93,-112083.52,5437.51,68977.74,-18604.05,419.08,-17747.41,-18184.97,-35932.38
2870,4634.58,11913.11,15688.31,-12323.73,-112112.78,5396.25,68951.62,-18593.92,419.36,-17852.64,-18174.56,-36027.2
2880,4429.73,11875.11,15743.55,-12254.7,-112380.62,5428.88,69213.95,-18526.0,422.79,-17944.1,-18103.21,-36047.31
2890,4579.84,11799.77,15779.51,-12322.51,-112068.26,5365.06,68877.58,-18568.6,422.82,-17989.01,-18145.78,-36134.79
2900,4613.67,11808.65,15845.17,-12304.64,-112354.49,5370.18,69124.03,-18475.61,420.79,-17897.43,-18054.82,-35952.25
2910,4445.2,11892.14,15833.38,-12474.78,-111870.25,5361.36,69117.21,-18816.79,420.06,-17695.75,-18396.72,-36092.47
2920,4448.94,11860.45,15773.87,-12362.14,-111976.98,5388.36,69036.92,-18690.6,418.35,-17830.58,-18272.25,-36102.83
2930,4506.44,11956.26,15802.83,-12448.6,-111927.82,5374.19,69137.98,-18777.92,420.91,-17598.73,-18357.01,-35955.74
2940,4565.96,11772.35,15784.38,-12384.87,-111979.33,5401.61,69149.34,-18809.34,421.49,-17690.56,-18387.85,-36078.42
2950,4655.31,11933.59,15801.63,-12408.99,-112219.55,5407.88,69228.7,-18590.72,414.33,-17601.44,-18176.39,-35777.84
2960,4473.84,11976.46,15835.88,-12454.57,-112171.08,5442.48,69115.83,-18528.09,415.2,-17781.17,-18112.89,-35894.06
2970,4560.58,11893.14,15785.73,-12365.32,-112196.84,5382.5,69013.18,-18485.54,420.34,-17927.03,-18065.2,-35992.23
2980,4564.09,12007.77,15838.47,-12440.68,-112205.19,5312.47,69065.88,-18452.61,412.49,-17857.2,-18040.13,-35897.33
2990,4516.38,11780.1,15873.1,-12356.55,-112530.17,5474.89,69163.31,-18365.06,417.37,-18078.94,-17947.69,-36026.63
3000,4481.85,11792.23,15824.74,-12486.3,-112366.84,5402.55,69241.26,-18390.64,412.42,-18110.49,-17978.22,-36088.71
3010,4482.71,11895.34,15777.97,-12375.45,-112433.12,5402.55,69201.74,-18399.57,419.07,-18048.26,-17980.5,-36028.76
3020,4448.55,11938.36,15850.5,-12437.04,-112392.18,5434.08,69227.68,-18392.18,413.27,-17930.05,-17978.91,-35908.96
3030,4486.84,11891.28,15801.4,-12397.06,-112471.18,5405.05,69227.45,-18307.44,411.04,-18056.22,-17896.4,-35952.62
3040,4584.61,11876.63,15828.62,-12339.76,-112464.17,5397.97,69153.73,-18420.11,417.86,-17962.36,-18002.25,-35964.62
3050,4528.22,11956.39,15872.47,-12447.71,-112134.43,5380.01,69115.22,-18544.23,419.08,-17729.83,-18125.15,-35854.98
3060,4547.56,11918.38,15866.68,-12298.49,-112426.42,5404.12,69057.23,-18412.15,415.77,-17930.94,-17996.38,-35927.32
3070,4475.09,11895.19,15828.62,-12332.88,-112291.81,5392.04,69085.63,-18516.52,420.58,-17948.12,-18095.94,-36044.06
3080,4509.43,11842.33,15837.27,-12449.31,-112257.75,5372.93,69070.47,-18409.82,419.55,-18074.64,-17990.27,-36064.91
3090,4608.21,11848.72,15860.52,-12396.35,-112264.54,5361.99,69130.53,-18440.2,418.44,-17850.91,-18021.76,-35872.68
3100,4490.62,11718.42,15821.21,-12419.21,-112108.65,5428.67,69118.01,-18611.36,421.58,-17950.93,-18189.77,-36140.71
3110,4504.25,11860.8,15815.78,-12350.0,-112136.03,5356.96,69077.44,-18637.88,423.23,-17870.8,-18214.65,-36085.44
3120,4401.5,11804.99,15854.61,-12410.0,-112420.28,5384.1,69201.36,-18314.23,417.61,-18183.71,-17896.63,-36080.34
3130,4473.0,11881.04,15840.03,-12417.76,-112194.14,5405.26,69081.33,-18526.86,420.17,-17931.25,-18106.69,-36037.94
3140,4541.9,11868.08,15789.78,-12361.74,-112276.03,5414.17,69081.63,-18467.83,417.89,-17942.2,-18049.94,-35992.15
3150,4527.13,11650.07,15832.66,-12279.41,-112449.41,5436.88,69203.72,-18380.37,418.4,-18078.36,-17961.96,-36040.32
3160,4505.17,11786.88,15863.13,-12406.69,-112636.65,5397.69,69210.53,-18253.84,417.13,-18279.94,-17836.71,-36116.65
3170,4517.7,11815.6,15802.6,-12230.72,-112359.52,5433.48,69085.67,-18426.78,418.49,-17935.17,-18008.29,-35943.46
3180,4439.72,11787.8,15892.26,-12368.63,-112610.96,5392.55,69239.16,-18266.65,417.3,-18228.1,-17849.35,-36077.45
3190,4468.77,11845.5,15855.89,-12365.28,-112631.63,5435.34,69174.89,-18279.19,416.18,-18216.52,-17863.01,-36079.53
3200,4566.06,11842.16,15906.0,-12334.26,-112484.03,5360.71,69128.46,-18298.34,415.66,-18014.9,-17882.69,-35897.59
3210,4444.44,11866.94,15729.37,-12290.17,-112481.9,5370.52,69023.19,-18330.72,420.24,-18337.6,-17910.47,-36248.08
3220,4526.08,11835.91,15873.1,-12380.19,-112102.08,5350.27,69031.01,-18605.55,423.04,-17865.91,-18182.52,-36048.42
3230,4558.1,11988.33,15795.99,-12424.21,-112412.82,5386.0,69133.79,-18332.72,417.87,-17974.83,-17914.85,-35889.67
3240,4520.23,11786.31,15838.46,-12392.27,-112504.69,5434.86,69086.98,-18232.67,417.17,-18230.11,-17815.5,-36045.61
3250,4505.83,11725.55,15766.01,-12371.51,-112678.8,5435.56,69179.8,-18233.15,415.5,-18437.56,-17817.64,-36255.2
3260,4546.25,11863.12,15760.03,-12414.36,-112349.72,5389.46,69182.77,-18396.43,418.3,-18022.44,-17978.12,-36000.56
3270,4587.21,11983.87,15770.33,-12372.61,-112159.66,5344.14,68914.76,-18400.3,416.14,-17931.98,-17984.16,-35916.14
3280,4572.74,11930.96,15800.98,-12319.23,-112264.64,5363.18,69066.96,-18436.7,425.54,-17849.06,-18011.16,-35860.21
